host,window,fft,magnitude,device
2731,1062,43062,358582,196,1569
2695,1060,43509,359488,184,1309
2784,1163,42920,358791,138,1201
2801,1120,43455,359459,157,1022
2956,1050,43093,358803,192,1419
2795,1084,43441,361050,157,1330
2822,1052,43044,358907,181,1579
2850,1078,43468,360171,217,1694
2801,1322,43034,358519,190,1703
2722,1156,43507,358683,201,1631
2731,1044,42951,358658,64,408
3066,1150,43420,359504,134,1315
2834,1143,43567,359737,223,1547
2890,1059,43005,359141,188,1693
2721,1093,43553,359703,133,1427
2805,1137,43501,360685,159,1502
3064,1075,43024,358614,197,1501
2836,1088,43478,358721,209,1727
2822,1049,43001,358827,142,1030
2830,1098,43449,359545,189,1271
2765,1060,43080,358153,139,1234
2882,1121,43373,361064,219,1371
3093,1076,43153,358685,64,411
2800,1090,43521,361151,192,984
2682,1118,43177,358643,159,1149
2778,1100,43478,358739,231,1470
2737,1061,42975,358886,148,1506
2926,1130,43410,358893,203,1030
2787,1054,43126,358239,182,1314
2783,1050,43427,361086,201,1585
