host,window,reverse,fft,magnitude,device
4007,2088,2819995,33742245,780,4199
3791,2046,2811891,33673077,708,4158
3789,2074,2810832,33841413,738,3377
3909,2052,2810653,33782738,611,2867
4007,2081,2807899,33754335,805,4271
3811,2039,2812365,33766617,601,2103
3904,2048,2810630,33758032,613,3020
3932,2180,2812007,33749814,838,4071
3845,2133,2803036,33781210,741,4423
3773,2213,2808424,33685590,747,3808
4109,2116,2814821,33680054,741,4048
3926,2010,2803274,33783629,787,4266
3739,2074,2800789,33806699,639,3013
3796,2056,2805982,33727578,705,3304
3802,2044,2810017,33747179,582,1764
3730,2054,2818005,33708410,692,3570
3973,2062,2809267,33678576,781,3945
3718,2054,2809201,33695759,687,4169
3816,2121,2819126,33885646,800,4102
3860,2183,2807780,33801221,719,3562
3855,2057,2806860,33719475,779,4591
3848,2116,2801254,33745350,848,4005
3950,2050,2800117,33685328,736,3950
3736,2036,2820676,33741159,578,1911
3829,2105,2815954,33752920,713,4055
3823,2041,2808165,33758279,807,3677
3832,2087,2804159,33713085,735,3459
3779,2035,2802062,33740160,773,4015
3784,2021,2809331,33697717,802,3415
4085,2055,2811525,33688224,778,3677
