window,fft,magnitude
14983,177837,3586
14909,182679,3548
15306,179350,3593
14953,178193,3560
14913,176850,3536
15233,177115,3552
14927,189296,3533
14835,177599,3556
14956,176971,3534
14848,177938,3536
14896,177595,3533
14987,181509,3541
15109,179272,3539
15035,179771,3541
15161,182078,3665
15071,179157,3555
15529,178520,3538
15025,184033,3613
15082,179853,3530
15082,189883,3544
15318,178878,3654
14903,178881,3534
14944,176824,3535
14818,178683,3537
15341,176673,3537
14860,175988,3544
14857,174660,3535
15057,182846,3553
14883,176599,3540
14834,176747,3551
